Debt_ID,Business_ID,Lender,Loan_Type,Principal_Amount,Outstanding_Amount,Interest_Rate(%),Monthly_Installment,Due_Date,Status,Collateral,Risk_Score,Optimization_Strategy
DEBTX00041,SMB534,Private Financier,Mortgage Loan,1157151,981198,17.65,114808,2025-12-23,Current,Yes,56,Snowball
DEBTX00042,SMB538,Bank Z,Credit Line,394867,115637,20.73,10560,2025-09-25,Overdue,No,42,Consolidation
DEBTX00043,SMB534,Bank X,Credit Line,268237,229662,11.03,21523,2025-12-09,Overdue,No,48,Consolidation
DEBTX00044,SMB550,Bank Y,Credit Line,733183,417218,10.76,27715,2025-03-30,Current,Yes,57,Avalanche
DEBTX00045,SMB507,Private Financier,Mortgage Loan,662797,406748,12.48,16762,2025-03-03,Overdue,Yes,53,Refinancing
DEBTX00046,SMB504,Bank X,Equipment Loan,206024,36685,20.42,3251,2025-11-26,Current,Yes,75,Avalanche
DEBTX00047,SMB503,Bank X,Working Capital,993372,253955,32.35,15551,2026-03-09,Overdue,Yes,86,Negotiation
DEBTX00048,SMB548,Bank Z,Equipment Loan,295318,295318,18.41,2483,2026-01-29,Defaulted,No,98,Refinancing
DEBTX00049,SMB534,Private Financier,Credit Line,1177933,317689,22.02,22440,2025-12-07,Current,Yes,69,Refinancing
DEBTX00050,SMB517,Bank Y,Equipment Loan,947886,840832,13.34,57527,2025-05-22,Defaulted,Yes,67,Negotiation
DEBTX00051,SMB503,NBFC Capital,Term Loan,1013588,866017,6.83,76424,2025-04-26,Defaulted,Yes,77,Negotiation
DEBTX00052,SMB536,Bank Y,Term Loan,1142243,503176,19.96,15899,2026-02-27,Closed,Yes,77,Avalanche
DEBTX00053,SMB512,Bank Y,Working Capital,559467,559467,10.42,24677,2025-12-19,Defaulted,Yes,98,Refinancing
DEBTX00054,SMB526,Bank X,Mortgage Loan,730932,246914,13.61,8344,2025-04-06,Defaulted,Yes,41,Negotiation
DEBTX00055,SMB548,NBFC Capital,Equipment Loan,403365,110036,15.68,11064,2025-07-14,Closed,Yes,36,Consolidation
DEBTX00056,SMB528,Bank X,Term Loan,156287,64010,14.45,6249,2025-01-21,Current,No,52,Refinancing
DEBTX00057,SMB519,Bank Y,Credit Line,272188,180173,20.29,9557,2026-02-11,Closed,Yes,52,Negotiation
DEBTX00058,SMB502,Private Financier,Term Loan,969383,141674,23.24,10708,2025-01-28,Defaulted,Yes,83,Refinancing
DEBTX00059,SMB525,Bank X,Working Capital,605647,578611,20.86,37457,2025-02-22,Defaulted,Yes,46,Refinancing
DEBTX00060,SMB514,NBFC Capital,Mortgage Loan,214409,183248,22.65,10126,2025-02-08,Current,No,43,Refinancing
DEBTX00061,SMB539,Bank Y,Credit Line,875145,875145,21.69,32297,2025-06-19,Defaulted,Yes,98,Negotiation
DEBTX00062,SMB510,NBFC Capital,Mortgage Loan,68090,51261,15.34,6147,2025-08-16,Current,No,33,Consolidation
DEBTX00063,SMB541,Private Financier,Mortgage Loan,628527,518229,9.1,51474,2026-04-14,Defaulted,Yes,58,Consolidation
DEBTX00064,SMB515,Private Financier,Credit Line,263235,210901,20.14,21695,2025-10-16,Closed,No,57,Avalanche
DEBTX00065,SMB510,Private Financier,Credit Line,988507,601308,20.41,54251,2025-03-23,Defaulted,Yes,40,Negotiation
DEBTX00066,SMB504,Bank Y,Credit Line,555191,420896,12.15,42761,2025-06-18,Closed,Yes,67,Negotiation
DEBTX00067,SMB521,Bank X,Term Loan,1085422,473338,22.42,34091,2026-04-16,Defaulted,Yes,30,Consolidation
DEBTX00068,SMB547,Private Financier,Term Loan,843370,752010,10.45,64021,2026-05-15,Current,Yes,29,Refinancing
DEBTX00069,SMB535,Private Financier,Credit Line,1068146,554383,17.61,20313,2025-07-25,Defaulted,Yes,30,Negotiation
DEBTX00070,SMB503,Bank Y,Equipment Loan,868802,796749,26.75,55244,2025-12-26,Current,Yes,56,Refinancing
DEBTX00071,SMB517,Private Financier,Mortgage Loan,843581,628014,7.25,43501,2026-04-28,Defaulted,Yes,78,Negotiation
DEBTX00072,SMB524,NBFC Capital,Term Loan,279994,274612,17.16,22669,2025-04-12,Closed,Yes,65,Avalanche
DEBTX00073,SMB534,NBFC Capital,Term Loan,541785,247124,40.08,15838,2026-04-19,Overdue,Yes,85,Negotiation
DEBTX00074,SMB540,Bank Y,Working Capital,1010726,955857,16.13,99349,2026-03-03,Closed,Yes,36,Snowball
DEBTX00075,SMB525,Bank Z,Term Loan,933605,46767,44.73,5110,2025-07-21,Overdue,Yes,90,Refinancing
DEBTX00076,SMB528,NBFC Capital,Equipment Loan,396486,211009,22.76,24355,2025-07-27,Defaulted,No,72,Consolidation
DEBTX00077,SMB545,NBFC Capital,Working Capital,70595,12044,15.54,399,2025-11-07,Defaulted,Yes,27,Refinancing
DEBTX00078,SMB527,Private Financier,Equipment Loan,1047583,779497,17.34,54964,2026-04-24,Current,Yes,47,Avalanche
DEBTX00079,SMB508,NBFC Capital,Equipment Loan,201936,192438,13.32,15457,2025-11-26,Current,Yes,82,Avalanche
DEBTX00080,SMB509,Private Financier,Credit Line,908518,485774,6.01,40877,2025-08-17,Defaulted,Yes,70,Consolidation
DEBTX00081,SMB531,NBFC Capital,Term Loan,654152,402756,17.63,17769,2026-05-10,Overdue,Yes,65,Negotiation
DEBTX00082,SMB514,Private Financier,Term Loan,80625,19067,38.3,888,2026-02-28,Overdue,No,87,Consolidation
DEBTX00083,SMB510,Private Financier,Working Capital,608516,551134,19.17,29408,2026-04-21,Closed,Yes,81,Avalanche
DEBTX00084,SMB509,NBFC Capital,Term Loan,395064,201503,19.82,22279,2026-04-01,Current,No,69,Consolidation
DEBTX00085,SMB514,NBFC Capital,Credit Line,135116,128220,15.96,10855,2025-04-21,Overdue,No,62,Negotiation
DEBTX00086,SMB535,Bank X,Term Loan,336517,301676,27.13,20755,2026-04-16,Closed,No,73,Refinancing
DEBTX00087,SMB532,Bank Z,Term Loan,1182426,381890,12.73,37336,2026-01-20,Closed,Yes,53,Refinancing
DEBTX00088,SMB544,Bank Y,Mortgage Loan,561591,245932,20.01,11745,2025-07-26,Current,Yes,81,Avalanche
DEBTX00089,SMB515,Private Financier,Term Loan,483082,237997,16.75,15355,2025-07-16,Current,Yes,51,Consolidation
DEBTX00090,SMB541,Bank X,Credit Line,266045,22095,43.67,961,2025-10-16,Overdue,Yes,86,Consolidation
DEBTX00091,SMB550,Bank X,Term Loan,905228,197965,22.5,7472,2025-11-03,Overdue,Yes,79,Consolidation
DEBTX00092,SMB544,Bank X,Credit Line,703186,529686,31.89,56470,2025-04-23,Overdue,Yes,99,Negotiation
DEBTX00093,SMB547,Private Financier,Credit Line,648542,89479,21.91,9446,2025-02-11,Overdue,Yes,60,Consolidation
DEBTX00094,SMB509,Bank Z,Working Capital,272841,36978,24.25,4104,2026-02-09,Closed,Yes,72,Refinancing
DEBTX00095,SMB547,NBFC Capital,Credit Line,455974,256180,17.65,15243,2026-01-07,Closed,Yes,76,Avalanche
DEBTX00096,SMB538,Bank Z,Term Loan,1143527,603921,17.91,60925,2025-06-05,Overdue,Yes,54,Consolidation
DEBTX00097,SMB539,NBFC Capital,Credit Line,370854,284604,9.77,28013,2026-03-09,Overdue,Yes,33,Refinancing
DEBTX00098,SMB547,Private Financier,Equipment Loan,287345,109864,8.25,11609,2025-12-31,Defaulted,Yes,60,Negotiation
DEBTX00099,SMB542,Bank Y,Credit Line,746555,728139,12.93,59516,2026-01-20,Defaulted,Yes,36,Refinancing
DEBTX00100,SMB535,Bank X,Term Loan,662133,502977,13.25,20517,2025-07-21,Current,Yes,47,Refinancing
DEBTX00101,SMB508,Private Financier,Mortgage Loan,573946,366689,23.58,28593,2025-10-01,Overdue,Yes,79,Consolidation
DEBTX00102,SMB519,Bank Y,Mortgage Loan,628860,314172,19.73,36144,2025-04-19,Defaulted,Yes,40,Consolidation
DEBTX00103,SMB541,Bank Z,Mortgage Loan,343195,118619,11.8,8053,2025-05-16,Overdue,Yes,29,Consolidation
DEBTX00104,SMB517,Private Financier,Term Loan,282250,247765,11.99,23714,2026-04-27,Defaulted,No,73,Consolidation
DEBTX00105,SMB537,Bank Y,Mortgage Loan,787283,597428,18.81,66478,2025-08-30,Overdue,Yes,45,Consolidation
DEBTX00106,SMB520,Bank Y,Working Capital,586098,9338,15.74,284,2025-10-07,Current,Yes,45,Refinancing
DEBTX00107,SMB520,Bank Z,Working Capital,101837,94119,19.81,4491,2025-12-15,Current,No,51,Snowball
DEBTX00108,SMB515,Bank Y,Term Loan,962125,790093,16.84,36624,2025-09-29,Defaulted,Yes,67,Negotiation
DEBTX00109,SMB513,NBFC Capital,Working Capital,731929,607384,24.99,38551,2025-12-10,Overdue,Yes,47,Refinancing
DEBTX00110,SMB537,Bank X,Equipment Loan,883138,179047,12.38,10394,2025-02-14,Current,Yes,70,Avalanche
DEBTX00111,SMB524,NBFC Capital,Term Loan,387309,349907,20.86,37989,2025-07-17,Overdue,Yes,73,Negotiation
DEBTX00112,SMB534,Bank Y,Working Capital,747348,58524,40.15,3012,2025-06-11,Overdue,Yes,93,Refinancing
DEBTX00113,SMB526,Bank X,Working Capital,475367,432449,12.09,39734,2025-08-25,Closed,Yes,63,Refinancing
DEBTX00114,SMB547,Bank Y,Working Capital,744177,737534,20.27,24170,2025-11-29,Closed,Yes,25,Refinancing
DEBTX00115,SMB524,Bank Z,Mortgage Loan,589291,336136,15.39,32288,2025-04-30,Overdue,Yes,77,Refinancing
DEBTX00116,SMB547,Bank X,Mortgage Loan,962026,582964,25.73,64529,2025-04-29,Current,Yes,45,Refinancing
DEBTX00117,SMB524,Bank X,Credit Line,790105,259174,17.48,26520,2025-09-04,Closed,Yes,56,Negotiation
DEBTX00118,SMB537,Bank X,Credit Line,497730,47937,19.03,3062,2025-12-25,Closed,Yes,77,Avalanche
DEBTX00119,SMB535,Private Financier,Working Capital,720060,195942,18.47,7215,2025-08-22,Defaulted,Yes,71,Refinancing
DEBTX00120,SMB532,Private Financier,Working Capital,1016589,959751,12.17,82999,2025-12-05,Closed,Yes,38,Avalanche
DEBTX00121,SMB536,NBFC Capital,Credit Line,1056170,713587,13.84,72177,2025-04-16,Overdue,Yes,40,Refinancing
DEBTX00122,SMB538,NBFC Capital,Equipment Loan,88697,39087,25.23,2639,2025-09-16,Overdue,Yes,44,Consolidation
DEBTX00123,SMB502,Private Financier,Equipment Loan,368222,95377,21.41,9030,2025-03-13,Current,Yes,49,Consolidation
DEBTX00124,SMB514,Bank Y,Working Capital,104427,34278,25.99,2723,2026-02-20,Closed,Yes,48,Refinancing
DEBTX00125,SMB540,Private Financier,Equipment Loan,531410,400988,17.64,44254,2025-05-16,Defaulted,Yes,39,Consolidation
DEBTX00126,SMB523,Bank Z,Mortgage Loan,151180,147726,15.72,9855,2025-04-03,Overdue,Yes,63,Refinancing
DEBTX00127,SMB512,Bank Z,Working Capital,1117948,381778,19.97,42722,2025-04-30,Overdue,Yes,31,Consolidation
DEBTX00128,SMB520,NBFC Capital,Term Loan,735768,220163,9.51,21790,2025-09-05,Defaulted,Yes,41,Negotiation
DEBTX00129,SMB549,Bank Z,Working Capital,247285,120412,8.99,8094,2025-09-05,Defaulted,Yes,73,Refinancing
DEBTX00130,SMB536,Bank Z,Mortgage Loan,1077362,630268,16.55,57448,2025-11-16,Closed,Yes,50,Negotiation
DEBTX00131,SMB507,Bank Y,Mortgage Loan,764770,578093,7.56,47791,2025-08-17,Current,Yes,47,Consolidation
DEBTX00132,SMB506,Private Financier,Equipment Loan,615948,453939,24.1,27300,2026-03-26,Current,Yes,54,Refinancing
DEBTX00133,SMB511,Bank Y,Term Loan,673025,472032,7.78,36515,2026-03-04,Overdue,Yes,77,Negotiation
DEBTX00134,SMB523,NBFC Capital,Mortgage Loan,705649,115937,10.69,12513,2026-05-08,Current,Yes,40,Refinancing
DEBTX00135,SMB539,Bank Y,Term Loan,1051594,913741,12.88,33899,2025-01-28,Overdue,Yes,81,Consolidation
DEBTX00136,SMB550,Private Financier,Term Loan,632422,47638,11.64,3694,2025-11-09,Overdue,Yes,38,Refinancing
DEBTX00137,SMB510,Bank Y,Credit Line,617828,507743,16.33,40735,2026-04-05,Defaulted,Yes,32,Consolidation
DEBTX00138,SMB537,Bank Z,Term Loan,506561,435865,20.97,33929,2025-05-08,Defaulted,Yes,31,Refinancing
DEBTX00139,SMB544,Bank X,Working Capital,1043488,438966,26.59,19279,2025-10-03,Defaulted,Yes,81,Consolidation
DEBTX00140,SMB535,Bank Z,Mortgage Loan,368248,229460,8.46,24633,2026-03-23,Current,No,78,Avalanche
DEBTX00141,SMB517,Bank Y,Working Capital,815025,571065,17.89,61917,2025-05-17,Defaulted,Yes,53,Negotiation
DEBTX00142,SMB514,NBFC Capital,Working Capital,981717,165548,19.28,17899,2025-12-19,Closed,Yes,67,Refinancing
DEBTX00143,SMB549,NBFC Capital,Equipment Loan,131871,100310,18.01,3435,2025-08-02,Closed,Yes,52,Negotiation
DEBTX00144,SMB511,Bank Z,Credit Line,774276,630944,18.47,66924,2026-04-08,Defaulted,Yes,47,Negotiation
DEBTX00145,SMB535,NBFC Capital,Equipment Loan,261653,81802,13.48,7834,2025-01-07,Current,Yes,83,Avalanche
DEBTX00146,SMB531,Bank X,Equipment Loan,232091,78055,44.25,5097,2025-09-17,Overdue,Yes,85,Consolidation
DEBTX00147,SMB542,Bank Z,Term Loan,792836,767735,25.23,78360,2025-09-30,Defaulted,Yes,59,Negotiation
DEBTX00148,SMB550,NBFC Capital,Working Capital,948863,636557,15.76,66755,2025-08-26,Closed,Yes,45,Avalanche
DEBTX00149,SMB522,NBFC Capital,Term Loan,488858,116372,27.02,11293,2025-08-27,Overdue,Yes,70,Consolidation
DEBTX00150,SMB507,Bank X,Mortgage Loan,759667,565046,26.41,56435,2025-01-20,Current,Yes,79,Refinancing
DEBTX00151,SMB504,NBFC Capital,Mortgage Loan,1136525,167597,22.73,19499,2025-03-07,Defaulted,Yes,62,Consolidation
DEBTX00152,SMB507,NBFC Capital,Term Loan,185633,86028,22.39,9359,2025-08-20,Defaulted,No,83,Negotiation
DEBTX00153,SMB532,NBFC Capital,Credit Line,975586,955140,13.9,62666,2025-06-30,Defaulted,Yes,63,Refinancing
DEBTX00154,SMB509,Bank X,Mortgage Loan,826380,617711,23.6,59847,2026-02-04,Overdue,Yes,83,Refinancing
DEBTX00155,SMB513,Bank Y,Mortgage Loan,281580,92377,14.87,5493,2026-02-27,Defaulted,Yes,82,Negotiation
DEBTX00156,SMB541,NBFC Capital,Mortgage Loan,1137425,145946,7.23,16422,2025-01-01,Defaulted,Yes,77,Refinancing
DEBTX00157,SMB532,Bank Z,Credit Line,842017,629457,15.0,58647,2025-01-27,Current,Yes,26,Avalanche
DEBTX00158,SMB517,Bank Z,Equipment Loan,582544,48936,13.07,4305,2025-11-10,Closed,Yes,69,Negotiation
DEBTX00159,SMB511,Bank Y,Equipment Loan,959450,361358,15.9,21167,2025-10-12,Current,Yes,78,Avalanche
DEBTX00160,SMB506,NBFC Capital,Term Loan,288602,7674,14.52,386,2026-01-14,Overdue,No,64,Consolidation
DEBTX00161,SMB516,Private Financier,Term Loan,991150,953615,9.5,38669,2026-03-25,Overdue,Yes,50,Refinancing
DEBTX00162,SMB541,Bank X,Working Capital,841240,765491,18.46,41677,2026-04-04,Current,Yes,70,Refinancing
DEBTX00163,SMB501,Bank Z,Mortgage Loan,930099,357416,16.3,25024,2025-10-31,Closed,Yes,41,Consolidation
DEBTX00164,SMB511,Private Financier,Mortgage Loan,272888,135801,12.98,16125,2025-10-13,Current,Yes,74,Negotiation
DEBTX00165,SMB509,Bank Y,Term Loan,1079789,206578,24.17,23428,2025-12-24,Overdue,Yes,61,Negotiation
DEBTX00166,SMB508,Bank X,Equipment Loan,637583,158627,18.57,18582,2026-05-04,Overdue,Yes,79,Refinancing
DEBTX00167,SMB539,NBFC Capital,Credit Line,871189,788288,20.89,56145,2025-06-02,Defaulted,Yes,69,Consolidation
DEBTX00168,SMB544,Bank Z,Credit Line,400089,361734,8.84,11780,2026-04-05,Defaulted,Yes,61,Consolidation
DEBTX00169,SMB516,Bank X,Equipment Loan,640302,629585,21.32,42948,2025-08-14,Closed,Yes,73,Avalanche
DEBTX00170,SMB515,Bank Y,Mortgage Loan,1022963,858878,19.56,29536,2025-12-18,Closed,Yes,28,Refinancing
DEBTX00171,SMB504,Bank Z,Equipment Loan,608508,350343,25.01,32135,2026-04-04,Defaulted,Yes,41,Consolidation
DEBTX00172,SMB537,NBFC Capital,Term Loan,239967,37843,20.19,1721,2025-06-10,Closed,Yes,30,Snowball
DEBTX00173,SMB511,Bank Z,Credit Line,561012,341133,10.66,35078,2025-06-14,Closed,Yes,48,Snowball
DEBTX00174,SMB519,Bank Y,Working Capital,87613,16604,7.14,1437,2026-05-15,Closed,No,40,Refinancing
DEBTX00175,SMB536,Private Financier,Equipment Loan,1143888,808412,25.05,34433,2025-10-29,Defaulted,Yes,29,Consolidation
DEBTX00176,SMB529,Bank Z,Term Loan,643303,387878,7.26,14177,2025-10-16,Closed,Yes,47,Negotiation
DEBTX00177,SMB501,Bank X,Equipment Loan,1003046,91769,11.24,5241,2025-07-14,Current,Yes,83,Avalanche
DEBTX00178,SMB528,Private Financier,Term Loan,385897,8923,18.41,609,2025-03-24,Overdue,No,84,Consolidation
DEBTX00179,SMB539,Bank Z,Working Capital,938414,574678,24.38,19762,2025-02-18,Defaulted,Yes,44,Consolidation
DEBTX00180,SMB512,Private Financier,Term Loan,707904,180719,21.15,12791,2025-10-27,Closed,Yes,51,Snowball
DEBTX00181,SMB527,Bank Y,Credit Line,106358,53060,15.8,6127,2025-01-27,Closed,Yes,83,Avalanche
DEBTX00182,SMB546,Private Financier,Term Loan,96489,60133,18.78,4804,2025-10-20,Current,No,59,Snowball
DEBTX00183,SMB543,NBFC Capital,Equipment Loan,614551,169375,8.52,19955,2025-01-23,Defaulted,Yes,30,Consolidation
DEBTX00184,SMB533,Bank Z,Mortgage Loan,790619,596884,31.41,21232,2026-02-14,Overdue,Yes,97,Consolidation
DEBTX00185,SMB512,Bank Y,Equipment Loan,891643,112367,12.46,6733,2025-07-25,Closed,Yes,50,Negotiation
DEBTX00186,SMB539,Bank X,Equipment Loan,653130,292678,26.96,23423,2025-07-31,Current,Yes,78,Refinancing
DEBTX00187,SMB517,Bank X,Term Loan,681535,503028,9.63,49565,2025-07-05,Closed,Yes,76,Avalanche
DEBTX00188,SMB504,Bank Z,Working Capital,561303,316855,40.41,32003,2026-04-12,Overdue,Yes,93,Negotiation
DEBTX00189,SMB524,Bank X,Equipment Loan,708822,560928,23.38,56176,2025-05-31,Current,Yes,30,Refinancing
DEBTX00190,SMB547,Bank Z,Working Capital,1062803,165856,8.32,7103,2025-03-12,Current,Yes,71,Avalanche
DEBTX00191,SMB523,NBFC Capital,Mortgage Loan,757474,472190,18.85,48964,2025-09-13,Current,Yes,49,Refinancing
DEBTX00192,SMB521,Private Financier,Equipment Loan,616457,402304,16.24,17282,2025-04-30,Defaulted,Yes,70,Consolidation
DEBTX00193,SMB534,Bank Y,Term Loan,1046822,929963,43.98,65731,2025-03-06,Overdue,Yes,80,Negotiation
DEBTX00194,SMB534,Bank X,Term Loan,639069,372257,20.79,37559,2025-01-16,Defaulted,Yes,79,Consolidation
DEBTX00195,SMB521,Bank Z,Equipment Loan,842095,598639,12.36,24148,2026-02-27,Defaulted,Yes,68,Negotiation
DEBTX00196,SMB550,Bank X,Term Loan,515056,361328,16.2,42965,2025-11-20,Overdue,Yes,57,Negotiation
DEBTX00197,SMB509,Bank Z,Term Loan,462175,257840,27.52,20818,2025-08-21,Defaulted,Yes,60,Refinancing
DEBTX00198,SMB522,Bank Z,Credit Line,62887,18924,20.57,831,2025-04-13,Overdue,No,43,Negotiation
DEBTX00199,SMB501,Bank Z,Credit Line,577467,542853,25.16,56075,2025-01-31,Defaulted,Yes,66,Negotiation
DEBTX00200,SMB533,Private Financier,Mortgage Loan,761670,359456,18.3,18336,2025-03-25,Defaulted,Yes,64,Refinancing
DEBTX00201,SMB522,Bank X,Equipment Loan,971347,658239,26.42,54970,2025-04-12,Overdue,Yes,55,Consolidation
DEBTX00202,SMB516,Bank Y,Working Capital,1078393,430342,18.91,47500,2025-07-29,Overdue,Yes,39,Refinancing
DEBTX00203,SMB548,Bank X,Term Loan,879639,555253,44.97,41002,2025-06-06,Overdue,Yes,89,Consolidation
DEBTX00204,SMB519,Private Financier,Term Loan,831717,284310,19.2,11404,2025-03-01,Overdue,Yes,52,Consolidation
DEBTX00205,SMB523,Bank Z,Term Loan,591740,591740,26.46,25343,2026-04-29,Defaulted,Yes,98,Negotiation
DEBTX00206,SMB547,Bank Y,Working Capital,455210,289881,13.25,29032,2025-01-18,Current,Yes,37,Consolidation
DEBTX00207,SMB515,NBFC Capital,Term Loan,534978,328736,17.61,18823,2026-01-19,Current,Yes,75,Snowball
DEBTX00208,SMB538,Bank X,Working Capital,242659,142595,12.61,13743,2025-05-06,Closed,No,33,Avalanche
DEBTX00209,SMB546,Bank Z,Working Capital,275550,255032,16.91,13270,2025-04-13,Current,No,43,Snowball
DEBTX00210,SMB523,Bank X,Term Loan,216541,156594,28.79,5873,2025-08-19,Overdue,Yes,93,Refinancing
DEBTX00211,SMB507,Bank X,Term Loan,199868,43020,14.24,3582,2025-02-26,Closed,Yes,36,Refinancing
DEBTX00212,SMB544,Private Financier,Working Capital,771656,427339,26.3,43288,2025-12-18,Overdue,Yes,34,Refinancing
DEBTX00213,SMB524,NBFC Capital,Mortgage Loan,902803,519466,21.14,31941,2025-09-20,Closed,Yes,49,Refinancing
DEBTX00214,SMB548,Bank X,Working Capital,1198596,499050,13.42,21638,2026-03-19,Current,Yes,61,Avalanche
DEBTX00215,SMB538,Bank Z,Working Capital,379116,71185,23.21,8439,2026-03-12,Closed,No,54,Refinancing
DEBTX00216,SMB515,Bank X,Term Loan,975912,690073,12.84,74427,2025-12-22,Closed,Yes,44,Negotiation
DEBTX00217,SMB545,Bank Y,Credit Line,1111378,538678,7.08,30518,2026-01-06,Overdue,Yes,56,Negotiation
DEBTX00218,SMB511,NBFC Capital,Term Loan,1195320,78240,13.32,5941,2025-03-18,Closed,Yes,38,Snowball
DEBTX00219,SMB532,Private Financier,Equipment Loan,518789,485698,29.79,47287,2026-02-10,Overdue,Yes,90,Negotiation
DEBTX00220,SMB521,Bank Y,Mortgage Loan,356048,214208,23.81,15679,2025-07-28,Current,Yes,82,Refinancing
