Transaction_ID,Date,Business_ID,Category,Cash_Inflow,Cash_Outflow,Net_Cashflow,Payment_Method,Notes
TXN0033,2025-01-03,SMB117,Inventory Purchase,0,28706,-28706,Credit,Warning: Negative cashflow
TXN0034,2024-03-11,SMB121,Rent,0,27259,-27259,Credit,Warning: Negative cashflow
TXN0035,2024-05-09,SMB143,Payroll,0,12121,-12121,Bank Transfer,Warning: Negative cashflow
TXN0036,2024-04-07,SMB106,Payroll,0,20615,-20615,Online Wallet,Warning: Negative cashflow
TXN0037,2024-11-21,SMB124,Payroll,0,28814,-28814,Cash,Warning: Negative cashflow
TXN0038,2024-07-27,SMB105,Rent,0,14390,-14390,Cash,Warning: Negative cashflow
TXN0039,2024-10-25,SMB125,Payroll,0,5918,-5918,Online Wallet,Warning: Negative cashflow
TXN0040,2024-04-28,SMB129,Loan Repayment,0,14390,-14390,Online Wallet,Warning: Negative cashflow
TXN0041,2024-10-05,SMB116,Inventory Purchase,0,24567,-24567,Credit,Warning: Negative cashflow
TXN0042,2024-01-08,SMB143,Payroll,0,28346,-28346,Credit,Warning: Negative cashflow
TXN0043,2024-01-16,SMB136,Rent,0,4470,-4470,Credit,Warning: Negative cashflow
TXN0044,2024-12-20,SMB129,Miscellaneous,0,9285,-9285,Bank Transfer,Warning: Negative cashflow
TXN0045,2024-05-17,SMB109,Payroll,0,11749,-11749,Bank Transfer,Warning: Negative cashflow
TXN0046,2024-11-08,SMB107,Inventory Purchase,0,23692,-23692,Online Wallet,Warning: Negative cashflow
TXN0047,2024-04-09,SMB130,Loan Repayment,0,19057,-19057,Online Wallet,Warning: Negative cashflow
TXN0048,2024-10-05,SMB149,Sales Revenue,18503,0,18503,Cash,Market fluctuation
TXN0049,2024-10-18,SMB126,Rent,0,119006,-105639,Bank Transfer,Warning: Negative cashflow
TXN0050,2024-03-24,SMB137,Loan Repayment,0,19296,-19296,Cash,Warning: Negative cashflow
TXN0051,2024-03-12,SMB120,Miscellaneous,9333,0,9333,Credit,Market fluctuation
TXN0052,2024-08-04,SMB111,Miscellaneous,5633,0,5633,Bank Transfer,Seasonal effect
TXN0053,2024-12-01,SMB124,Sales Revenue,38243,0,38243,Bank Transfer,Seasonal effect
TXN0054,2024-06-13,SMB145,Payroll,0,15787,-15787,Bank Transfer,Warning: Negative cashflow
TXN0055,2024-11-12,SMB148,Loan Repayment,0,23782,-23782,Online Wallet,Warning: Negative cashflow
TXN0056,2024-04-06,SMB148,Loan Repayment,0,13990,-13990,Cash,Warning: Negative cashflow
TXN0057,2024-09-21,SMB131,Inventory Purchase,0,20895,-20895,Cash,Warning: Negative cashflow
TXN0058,2024-12-29,SMB141,Loan Repayment,0,12129,-12129,Bank Transfer,Warning: Negative cashflow
TXN0059,2024-04-23,SMB146,Loan Repayment,0,15520,-15520,Credit,Warning: Negative cashflow
TXN0060,2024-11-14,SMB117,Inventory Purchase,0,12713,-12713,Online Wallet,Warning: Negative cashflow
TXN0061,2024-12-28,SMB140,Rent,0,28813,-28813,Online Wallet,Warning: Negative cashflow
TXN0062,2024-08-01,SMB101,Loan Repayment,0,6202,-6202,Credit,Warning: Negative cashflow
TXN0063,2024-10-28,SMB121,Sales Revenue,34936,0,34936,Bank Transfer,Market fluctuation
TXN0064,2024-08-12,SMB142,Rent,0,18701,-18701,Cash,Warning: Negative cashflow
TXN0065,2024-07-11,SMB122,Sales Revenue,34815,61942,-61942,Cash,Warning: Negative cashflow
TXN0066,2024-12-03,SMB132,Inventory Purchase,0,24347,-24347,Online Wallet,Warning: Negative cashflow
TXN0067,2024-10-02,SMB141,Sales Revenue,17046,0,17046,Credit,Seasonal effect
TXN0068,2024-10-05,SMB110,Inventory Purchase,0,8973,-8973,Cash,Warning: Negative cashflow
TXN0069,2024-01-17,SMB134,Rent,0,29200,-29200,Cash,Warning: Negative cashflow
TXN0070,2024-08-19,SMB104,Sales Revenue,49303,0,49303,Online Wallet,Normal transaction
TXN0071,2024-08-13,SMB146,Inventory Purchase,0,423708,-423708,Bank Transfer,Warning: Negative cashflow
TXN0072,2024-07-30,SMB137,Loan Repayment,0,24757,-24757,Bank Transfer,Warning: Negative cashflow
TXN0073,2024-01-02,SMB116,Payroll,0,18916,-18916,Credit,Warning: Negative cashflow
TXN0074,2024-11-20,SMB111,Rent,0,22479,-22479,Cash,Warning: Negative cashflow
TXN0075,2025-01-18,SMB142,Loan Repayment,0,97077,-69495,Online Wallet,Warning: Negative cashflow
TXN0076,2024-03-01,SMB110,Miscellaneous,0,5922,-5922,Cash,Warning: Negative cashflow
TXN0077,2024-04-29,SMB140,Inventory Purchase,0,18472,-18472,Bank Transfer,Warning: Negative cashflow
TXN0078,2024-11-28,SMB122,Sales Revenue,21135,0,21135,Online Wallet,Normal transaction
TXN0079,2024-08-10,SMB101,Miscellaneous,3571,0,3571,Bank Transfer,Market fluctuation
TXN0080,2024-04-07,SMB144,Miscellaneous,0,4127,-4127,Cash,Warning: Negative cashflow
TXN0081,2024-01-05,SMB136,Sales Revenue,18552,0,18552,Bank Transfer,Seasonal effect
TXN0082,2025-01-19,SMB133,Payroll,0,16155,-16155,Bank Transfer,Warning: Negative cashflow
TXN0083,2024-01-11,SMB127,Loan Repayment,0,26614,-26614,Online Wallet,Warning: Negative cashflow
TXN0084,2024-05-22,SMB146,Inventory Purchase,0,8134,-8134,Cash,Warning: Negative cashflow
TXN0085,2025-01-19,SMB132,Sales Revenue,44879,0,44879,Credit,Market fluctuation
TXN0086,2024-02-09,SMB123,Sales Revenue,11659,0,11659,Bank Transfer,Normal transaction
TXN0087,2024-12-22,SMB133,Inventory Purchase,0,9474,-9474,Cash,Warning: Negative cashflow
TXN0088,2024-08-08,SMB118,Payroll,0,27228,-27228,Credit,Warning: Negative cashflow
TXN0089,2024-12-06,SMB111,Rent,0,28434,-28434,Credit,Warning: Negative cashflow
TXN0090,2024-07-19,SMB143,Payroll,0,9815,-9815,Credit,Warning: Negative cashflow
TXN0091,2024-05-11,SMB107,Sales Revenue,36537,0,36537,Bank Transfer,Normal transaction
TXN0092,2024-02-28,SMB113,Rent,0,18320,-18320,Online Wallet,Warning: Negative cashflow
TXN0093,2024-05-16,SMB135,Rent,0,20745,-20745,Credit,Warning: Negative cashflow
TXN0094,2024-09-02,SMB133,Sales Revenue,12260,0,12260,Online Wallet,Normal transaction
TXN0095,2024-09-05,SMB131,Sales Revenue,5433,0,5433,Bank Transfer,Seasonal effect
TXN0096,2024-04-04,SMB116,Inventory Purchase,0,29867,-29867,Online Wallet,Warning: Negative cashflow
TXN0097,2024-06-29,SMB144,Loan Repayment,0,6636,-6636,Online Wallet,Warning: Negative cashflow
TXN0098,2024-11-23,SMB117,Miscellaneous,4700,0,4700,Cash,Seasonal effect
TXN0099,2024-11-08,SMB135,Payroll,0,26890,-26890,Online Wallet,Warning: Negative cashflow
TXN0100,2024-10-10,SMB141,Miscellaneous,0,6213,-6213,Online Wallet,Warning: Negative cashflow
TXN0101,2024-04-11,SMB122,Rent,0,9280,-9280,Credit,Warning: Negative cashflow
TXN0102,2024-02-13,SMB122,Sales Revenue,9805,0,9805,Credit,Market fluctuation
TXN0103,2024-10-01,SMB118,Miscellaneous,0,993,-993,Online Wallet,Warning: Negative cashflow
TXN0104,2024-11-29,SMB113,Loan Repayment,0,11855,-11855,Bank Transfer,Warning: Negative cashflow
TXN0105,2024-01-06,SMB147,Loan Repayment,0,11551,-11551,Cash,Warning: Negative cashflow
TXN0106,2024-11-01,SMB110,Miscellaneous,0,3360,-3360,Bank Transfer,Warning: Negative cashflow
TXN0107,2024-03-08,SMB141,Miscellaneous,0,8323,-8323,Cash,Warning: Negative cashflow
TXN0108,2024-02-17,SMB136,Payroll,0,4029,-4029,Bank Transfer,Warning: Negative cashflow
TXN0109,2024-04-02,SMB139,Miscellaneous,1842,0,1842,Online Wallet,Seasonal effect
TXN0110,2024-08-25,SMB104,Rent,0,16797,-16797,Cash,Warning: Negative cashflow
TXN0111,2024-07-29,SMB143,Loan Repayment,0,23369,-23369,Cash,Warning: Negative cashflow
TXN0112,2025-01-04,SMB143,Inventory Purchase,0,25809,-25809,Cash,Warning: Negative cashflow
TXN0113,2024-01-11,SMB136,Loan Repayment,0,14579,-14579,Bank Transfer,Warning: Negative cashflow
TXN0114,2025-01-17,SMB108,Loan Repayment,0,26680,-26680,Credit,Warning: Negative cashflow
TXN0115,2024-08-18,SMB126,Inventory Purchase,0,28128,-28128,Credit,Warning: Negative cashflow
TXN0116,2025-01-05,SMB119,Miscellaneous,6872,0,6872,Cash,Market fluctuation
TXN0117,2024-06-12,SMB136,Payroll,0,4776,-4776,Credit,Warning: Negative cashflow
TXN0118,2024-11-01,SMB113,Rent,0,7246,-7246,Credit,Warning: Negative cashflow
TXN0119,2024-10-25,SMB117,Loan Repayment,0,13523,-13523,Credit,Warning: Negative cashflow
TXN0120,2024-03-13,SMB128,Miscellaneous,0,6752,-6752,Cash,Warning: Negative cashflow
TXN0121,2024-05-08,SMB150,Payroll,0,18999,-18999,Cash,Warning: Negative cashflow
TXN0122,2024-11-09,SMB123,Rent,0,15233,-15233,Bank Transfer,Warning: Negative cashflow
TXN0123,2024-01-05,SMB131,Miscellaneous,5274,0,5274,Online Wallet,Market fluctuation
TXN0124,2024-01-24,SMB105,Payroll,0,3686,-3686,Cash,Warning: Negative cashflow
TXN0125,2024-04-29,SMB110,Loan Repayment,0,22463,-22463,Bank Transfer,Warning: Negative cashflow
TXN0126,2024-08-21,SMB111,Miscellaneous,0,3163,-3163,Cash,Warning: Negative cashflow
TXN0127,2025-01-30,SMB108,Payroll,0,12302,-12302,Bank Transfer,Warning: Negative cashflow
TXN0128,2024-04-27,SMB105,Miscellaneous,0,8031,-8031,Bank Transfer,Warning: Negative cashflow
TXN0129,2024-07-02,SMB129,Loan Repayment,0,17190,-17190,Bank Transfer,Warning: Negative cashflow
TXN0130,2024-10-15,SMB124,Inventory Purchase,0,26799,-26799,Cash,Warning: Negative cashflow
TXN0131,2024-07-12,SMB150,Rent,0,14116,-14116,Online Wallet,Warning: Negative cashflow
TXN0132,2024-05-09,SMB128,Rent,0,7064,-7064,Credit,Warning: Negative cashflow
TXN0133,2024-08-29,SMB137,Rent,0,14451,-14451,Cash,Warning: Negative cashflow
TXN0134,2024-03-31,SMB134,Miscellaneous,0,6042,-6042,Bank Transfer,Warning: Negative cashflow
TXN0135,2024-08-30,SMB104,Miscellaneous,0,6085,-6085,Online Wallet,Warning: Negative cashflow
TXN0136,2024-11-09,SMB132,Rent,0,14563,-14563,Credit,Warning: Negative cashflow
TXN0137,2025-01-12,SMB140,Miscellaneous,0,2406,-2406,Cash,Warning: Negative cashflow
TXN0138,2024-06-17,SMB117,Payroll,0,28288,-28288,Bank Transfer,Warning: Negative cashflow
TXN0139,2024-04-14,SMB115,Payroll,0,3131,-3131,Credit,Warning: Negative cashflow
TXN0140,2024-02-19,SMB103,Inventory Purchase,0,9129,-9129,Cash,Warning: Negative cashflow
TXN0141,2024-02-21,SMB118,Loan Repayment,0,8705,-8705,Online Wallet,Warning: Negative cashflow
TXN0142,2024-07-23,SMB147,Inventory Purchase,0,23577,-23577,Credit,Warning: Negative cashflow
TXN0143,2024-01-27,SMB123,Sales Revenue,13590,0,13590,Online Wallet,Seasonal effect
TXN0144,2024-02-28,SMB118,Rent,0,108126,-84589,Cash,Warning: Negative cashflow
TXN0145,2024-09-16,SMB135,Loan Repayment,0,27817,-27817,Online Wallet,Warning: Negative cashflow
TXN0146,2024-11-06,SMB124,Miscellaneous,0,6835,-6835,Online Wallet,Warning: Negative cashflow
TXN0147,2025-02-02,SMB123,Inventory Purchase,0,11498,-11498,Credit,Warning: Negative cashflow
TXN0148,2024-09-19,SMB104,Inventory Purchase,0,27946,-27946,Cash,Warning: Negative cashflow
TXN0149,2024-02-13,SMB146,Loan Repayment,0,27156,-27156,Credit,Warning: Negative cashflow
TXN0150,2024-01-12,SMB134,Miscellaneous,2374,0,2374,Online Wallet,Market fluctuation
TXN0151,2024-08-19,SMB149,Inventory Purchase,0,24654,-24654,Credit,Warning: Negative cashflow
TXN0152,2024-08-21,SMB112,Rent,0,11631,-11631,Credit,Warning: Negative cashflow
TXN0153,2024-10-13,SMB145,Payroll,0,68759,-45017,Cash,Warning: Negative cashflow
TXN0154,2024-09-21,SMB115,Loan Repayment,0,9268,-9268,Credit,Warning: Negative cashflow
TXN0155,2024-05-30,SMB109,Rent,0,5483,-5483,Cash,Warning: Negative cashflow
TXN0156,2024-04-14,SMB131,Miscellaneous,0,3512,-3512,Credit,Warning: Negative cashflow
TXN0157,2024-03-30,SMB102,Loan Repayment,0,12368,-12368,Online Wallet,Warning: Negative cashflow
TXN0158,2024-06-02,SMB135,Rent,0,12032,-12032,Credit,Warning: Negative cashflow
TXN0159,2024-05-18,SMB142,Inventory Purchase,0,15382,-15382,Online Wallet,Warning: Negative cashflow
TXN0160,2024-10-04,SMB136,Rent,0,32644,-26934,Bank Transfer,Warning: Negative cashflow
TXN0161,2024-11-25,SMB108,Sales Revenue,16587,0,16587,Bank Transfer,Normal transaction
TXN0162,2024-06-28,SMB141,Inventory Purchase,0,9435,-9435,Cash,Warning: Negative cashflow
TXN0163,2024-07-05,SMB139,Miscellaneous,0,3265,-3265,Online Wallet,Warning: Negative cashflow
TXN0164,2024-12-23,SMB145,Loan Repayment,0,11543,-11543,Bank Transfer,Warning: Negative cashflow
TXN0165,2024-01-26,SMB106,Miscellaneous,0,3565,-3565,Bank Transfer,Warning: Negative cashflow
TXN0166,2024-01-12,SMB130,Inventory Purchase,0,22619,-22619,Bank Transfer,Warning: Negative cashflow
TXN0167,2024-05-23,SMB144,Sales Revenue,32100,0,32100,Online Wallet,Market fluctuation
TXN0168,2024-04-20,SMB126,Miscellaneous,0,9460,-9460,Cash,Warning: Negative cashflow
TXN0169,2025-02-03,SMB144,Payroll,0,23191,-23191,Cash,Warning: Negative cashflow
TXN0170,2024-09-17,SMB108,Payroll,0,18244,-18244,Bank Transfer,Warning: Negative cashflow
TXN0171,2024-08-08,SMB127,Sales Revenue,45555,0,45555,Cash,Market fluctuation
TXN0172,2024-08-17,SMB115,Loan Repayment,0,16830,-16830,Cash,Warning: Negative cashflow
TXN0173,2024-01-04,SMB101,Miscellaneous,0,4053,-4053,Cash,Warning: Negative cashflow
TXN0174,2024-06-01,SMB129,Rent,0,22447,-22447,Online Wallet,Warning: Negative cashflow
TXN0175,2025-01-20,SMB101,Miscellaneous,0,2583,-2583,Cash,Warning: Negative cashflow
TXN0176,2024-09-10,SMB133,Inventory Purchase,0,8198,-8198,Online Wallet,Warning: Negative cashflow
TXN0177,2024-07-06,SMB106,Rent,0,3455,-3455,Online Wallet,Warning: Negative cashflow
TXN0178,2024-04-23,SMB105,Miscellaneous,0,105354,-105354,Credit,Warning: Negative cashflow
TXN0179,2025-01-02,SMB106,Payroll,0,23502,-23502,Online Wallet,Warning: Negative cashflow
TXN0180,2024-03-17,SMB128,Sales Revenue,19451,0,19451,Online Wallet,Seasonal effect
TXN0181,2024-02-21,SMB126,Inventory Purchase,0,29276,-29276,Online Wallet,Warning: Negative cashflow
TXN0182,2024-05-30,SMB148,Payroll,0,12331,-12331,Online Wallet,Warning: Negative cashflow
TXN0183,2024-08-28,SMB122,Miscellaneous,0,893,-893,Credit,Warning: Negative cashflow
TXN0184,2024-11-25,SMB136,Rent,0,12968,-12968,Credit,Warning: Negative cashflow
TXN0185,2024-01-15,SMB140,Loan Repayment,0,27906,-27906,Online Wallet,Warning: Negative cashflow
TXN0186,2025-01-28,SMB143,Miscellaneous,1378,0,1378,Credit,Market fluctuation
TXN0187,2024-05-11,SMB121,Loan Repayment,0,122217,-101307,Credit,Warning: Negative cashflow
TXN0188,2024-02-28,SMB112,Rent,0,19204,-19204,Online Wallet,Warning: Negative cashflow
TXN0189,2024-01-28,SMB148,Inventory Purchase,0,22851,-22851,Bank Transfer,Warning: Negative cashflow
TXN0190,2024-11-05,SMB145,Sales Revenue,7897,0,7897,Credit,Normal transaction
TXN0191,2024-04-29,SMB133,Payroll,0,16287,-16287,Credit,Warning: Negative cashflow
TXN0192,2024-09-12,SMB138,Miscellaneous,0,4286,-4286,Bank Transfer,Warning: Negative cashflow
TXN0193,2024-01-18,SMB131,Sales Revenue,18392,0,18392,Online Wallet,Market fluctuation
TXN0194,2025-01-15,SMB136,Rent,0,92546,-84900,Bank Transfer,Warning: Negative cashflow
TXN0195,2024-12-19,SMB120,Payroll,0,26047,-26047,Credit,Warning: Negative cashflow
TXN0196,2024-03-23,SMB134,Rent,0,9608,-9608,Credit,Warning: Negative cashflow
TXN0197,2024-07-18,SMB123,Rent,0,21716,-21716,Online Wallet,Warning: Negative cashflow
TXN0198,2024-11-17,SMB101,Payroll,0,12798,-12798,Credit,Warning: Negative cashflow
TXN0199,2024-01-18,SMB107,Miscellaneous,73389,0,73389,Online Wallet,Large inflow spike
TXN0200,2024-06-06,SMB109,Payroll,0,29774,-29774,Bank Transfer,Warning: Negative cashflow
TXN0201,2024-05-29,SMB125,Sales Revenue,23891,0,23891,Bank Transfer,Market fluctuation
TXN0202,2024-12-29,SMB122,Sales Revenue,40259,0,40259,Credit,Seasonal effect
TXN0203,2024-04-19,SMB101,Payroll,0,14233,-14233,Credit,Warning: Negative cashflow
TXN0204,2024-11-20,SMB120,Rent,0,21745,-21745,Bank Transfer,Warning: Negative cashflow
TXN0205,2024-10-11,SMB115,Loan Repayment,0,4736,-4736,Credit,Warning: Negative cashflow
TXN0206,2025-01-11,SMB117,Payroll,0,22182,-22182,Cash,Warning: Negative cashflow
TXN0207,2024-12-25,SMB147,Payroll,0,24549,-24549,Online Wallet,Warning: Negative cashflow
TXN0208,2024-05-30,SMB112,Miscellaneous,3792,0,3792,Credit,Seasonal effect
TXN0209,2024-05-12,SMB136,Sales Revenue,7813,0,7813,Credit,Market fluctuation
TXN0210,2024-12-31,SMB106,Loan Repayment,0,7758,-7758,Credit,Warning: Negative cashflow
TXN0211,2024-08-11,SMB120,Payroll,0,136861,-116359,Cash,Warning: Negative cashflow
TXN0212,2024-02-27,SMB150,Loan Repayment,0,78615,-50777,Online Wallet,Warning: Negative cashflow
TXN0213,2024-10-05,SMB114,Inventory Purchase,0,11134,-11134,Online Wallet,Warning: Negative cashflow
TXN0214,2024-06-19,SMB115,Payroll,0,25049,-25049,Bank Transfer,Warning: Negative cashflow
TXN0215,2024-08-28,SMB145,Rent,0,17885,-17885,Credit,Warning: Negative cashflow
TXN0216,2024-04-24,SMB140,Payroll,0,17614,-17614,Bank Transfer,Warning: Negative cashflow
TXN0217,2024-05-06,SMB103,Miscellaneous,0,3378,-3378,Cash,Warning: Negative cashflow
TXN0218,2024-12-10,SMB121,Sales Revenue,47996,0,47996,Cash,Normal transaction
TXN0219,2024-07-17,SMB148,Inventory Purchase,0,12760,-12760,Credit,Warning: Negative cashflow
TXN0220,2025-01-08,SMB135,Miscellaneous,0,1099,-1099,Online Wallet,Warning: Negative cashflow
TXN0221,2024-01-02,SMB119,Sales Revenue,12269,0,12269,Online Wallet,Seasonal effect
TXN0222,2024-11-09,SMB137,Inventory Purchase,0,3061,-3061,Credit,Warning: Negative cashflow
TXN0223,2025-01-15,SMB115,Rent,0,6303,-6303,Online Wallet,Warning: Negative cashflow
TXN0224,2024-10-01,SMB130,Payroll,0,20277,-20277,Cash,Warning: Negative cashflow
TXN0225,2024-02-19,SMB108,Payroll,0,27912,-27912,Bank Transfer,Warning: Negative cashflow
TXN0226,2024-07-25,SMB133,Inventory Purchase,0,71858,-65586,Bank Transfer,Warning: Negative cashflow
TXN0227,2024-08-24,SMB128,Sales Revenue,21836,0,21836,Credit,Market fluctuation
TXN0228,2024-09-08,SMB125,Payroll,0,29266,-29266,Cash,Warning: Negative cashflow
TXN0229,2024-01-30,SMB122,Loan Repayment,0,20478,-20478,Credit,Warning: Negative cashflow
TXN0230,2024-08-26,SMB127,Inventory Purchase,0,109456,-94577,Credit,Warning: Negative cashflow
TXN0231,2024-09-05,SMB129,Rent,0,2203,-2203,Credit,Warning: Negative cashflow
TXN0232,2024-04-30,SMB127,Inventory Purchase,0,15009,-15009,Cash,Warning: Negative cashflow
TXN0233,2024-02-24,SMB132,Miscellaneous,0,113735,-103970,Cash,Warning: Negative cashflow
TXN0234,2024-07-31,SMB132,Sales Revenue,16446,0,16446,Credit,Seasonal effect
TXN0235,2024-01-15,SMB126,Payroll,0,15219,-15219,Online Wallet,Warning: Negative cashflow
TXN0236,2025-01-11,SMB125,Payroll,0,22898,-22898,Credit,Warning: Negative cashflow
TXN0237,2025-01-19,SMB111,Rent,0,12774,-12774,Bank Transfer,Warning: Negative cashflow
TXN0238,2024-11-16,SMB132,Rent,0,12103,-12103,Cash,Warning: Negative cashflow
TXN0239,2024-08-06,SMB120,Miscellaneous,0,7614,-7614,Bank Transfer,Warning: Negative cashflow
TXN0240,2024-09-12,SMB111,Sales Revenue,36624,0,36624,Credit,Normal transaction
TXN0241,2024-04-28,SMB136,Loan Repayment,0,17499,-17499,Online Wallet,Warning: Negative cashflow
TXN0242,2024-07-05,SMB114,Miscellaneous,2640,0,2640,Cash,Normal transaction
TXN0243,2024-03-12,SMB134,Loan Repayment,0,24935,-24935,Credit,Warning: Negative cashflow
TXN0244,2024-03-08,SMB103,Rent,0,10829,-10829,Credit,Warning: Negative cashflow
TXN0245,2024-03-24,SMB122,Miscellaneous,7299,0,7299,Credit,Normal transaction
TXN0246,2024-05-23,SMB148,Payroll,0,5749,-5749,Credit,Warning: Negative cashflow
TXN0247,2024-05-09,SMB150,Sales Revenue,11857,0,11857,Cash,Normal transaction
TXN0248,2024-01-17,SMB131,Rent,0,19177,-19177,Online Wallet,Warning: Negative cashflow
TXN0249,2024-01-11,SMB102,Miscellaneous,0,736,-736,Online Wallet,Warning: Negative cashflow
TXN0250,2024-06-01,SMB103,Inventory Purchase,0,16985,-16985,Cash,Warning: Negative cashflow
TXN0251,2024-08-17,SMB148,Miscellaneous,0,2845,-2845,Credit,Warning: Negative cashflow
TXN0252,2024-10-11,SMB149,Inventory Purchase,0,4327,-4327,Bank Transfer,Warning: Negative cashflow
TXN0253,2024-07-27,SMB150,Inventory Purchase,0,27033,-27033,Bank Transfer,Warning: Negative cashflow
TXN0254,2024-09-12,SMB119,Miscellaneous,9964,0,9964,Cash,Normal transaction
TXN0255,2024-08-17,SMB142,Loan Repayment,0,29468,-29468,Bank Transfer,Warning: Negative cashflow
TXN0256,2024-09-11,SMB137,Rent,0,17797,-17797,Credit,Warning: Negative cashflow
TXN0257,2024-06-10,SMB138,Sales Revenue,22708,0,22708,Credit,Market fluctuation
TXN0258,2025-01-05,SMB121,Loan Repayment,0,29231,-29231,Bank Transfer,Warning: Negative cashflow
TXN0259,2024-09-10,SMB111,Rent,0,3325,-3325,Cash,Warning: Negative cashflow
TXN0260,2025-01-19,SMB137,Miscellaneous,0,59989,-52737,Online Wallet,Warning: Negative cashflow
TXN0261,2024-02-28,SMB111,Rent,0,4835,-4835,Bank Transfer,Warning: Negative cashflow
TXN0262,2024-09-14,SMB129,Rent,0,28291,-28291,Online Wallet,Warning: Negative cashflow
TXN0263,2024-07-03,SMB109,Payroll,0,3128,-3128,Cash,Warning: Negative cashflow
TXN0264,2024-11-30,SMB133,Miscellaneous,5627,0,5627,Cash,Seasonal effect
TXN0265,2024-01-11,SMB119,Inventory Purchase,0,13077,-13077,Bank Transfer,Warning: Negative cashflow
TXN0266,2024-09-20,SMB116,Payroll,0,3538,-3538,Cash,Warning: Negative cashflow
TXN0267,2024-04-03,SMB104,Loan Repayment,0,22961,-22961,Credit,Warning: Negative cashflow
TXN0268,2024-03-11,SMB107,Loan Repayment,0,11487,-11487,Online Wallet,Warning: Negative cashflow
TXN0269,2024-05-18,SMB115,Rent,0,10715,-10715,Online Wallet,Warning: Negative cashflow
TXN0270,2024-11-17,SMB105,Rent,0,10750,-10750,Online Wallet,Warning: Negative cashflow
TXN0271,2024-12-04,SMB140,Inventory Purchase,0,23431,-23431,Cash,Warning: Negative cashflow
TXN0272,2024-12-01,SMB149,Sales Revenue,42115,0,42115,Cash,Seasonal effect
TXN0273,2024-05-26,SMB137,Inventory Purchase,0,17791,-17791,Online Wallet,Warning: Negative cashflow
TXN0274,2024-03-20,SMB128,Loan Repayment,0,18716,-18716,Bank Transfer,Warning: Negative cashflow
TXN0275,2024-12-19,SMB142,Sales Revenue,26686,0,26686,Bank Transfer,Market fluctuation
